,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_PASS_52_NAME,OBS_VALUE
0,2021,E02003359,2021 super output areas - middle layer,152,Middle East and Asia: Middle East: Iran,0
1,2021,E02003359,2021 super output areas - middle layer,152,Middle East and Asia: Middle East: Iraq,0
2,2021,E02003359,2021 super output areas - middle layer,152,Middle East and Asia: Middle East: Other Middle East,1
3,2021,E02003359,2021 super output areas - middle layer,152,Middle East and Asia: Eastern Asia,10
4,2021,E02003359,2021 super output areas - middle layer,152,Middle East and Asia: Eastern Asia: China,9
5,2021,E02003359,2021 super output areas - middle layer,152,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),0
6,2021,E02003359,2021 super output areas - middle layer,152,Middle East and Asia: Eastern Asia: Japan,0
7,2021,E02003359,2021 super output areas - middle layer,152,Middle East and Asia: Eastern Asia: Other Eastern Asia,1
8,2021,E02003359,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia,30
9,2021,E02003359,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia: Afghanistan,0
10,2021,E02003359,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia: Bangladesh,2
11,2021,E02003359,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia: India,10
12,2021,E02003359,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia: Pakistan,2
13,2021,E02003359,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia: Sri Lanka,3
14,2021,E02003359,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia: Other Southern Asia,13
15,2021,E02003359,2021 super output areas - middle layer,152,Middle East and Asia: South-East Asia,16
16,2021,E02003359,2021 super output areas - middle layer,152,Middle East and Asia: South-East Asia: Malaysia,1
17,2021,E02003359,2021 super output areas - middle layer,152,Middle East and Asia: South-East Asia: Philippines,8
18,2021,E02003359,2021 super output areas - middle layer,152,Middle East and Asia: South-East Asia: Singapore,0
19,2021,E02003359,2021 super output areas - middle layer,152,Middle East and Asia: South-East Asia: Other South-East Asia,7
20,2021,E02003359,2021 super output areas - middle layer,152,Middle East and Asia: Central Asia,0
21,2021,E02003359,2021 super output areas - middle layer,152,The Americas and the Caribbean,24
22,2021,E02003359,2021 super output areas - middle layer,152,The Americas and the Caribbean: North America,10
23,2021,E02003359,2021 super output areas - middle layer,152,The Americas and the Caribbean: North America: Canada,2
24,2021,E02003359,2021 super output areas - middle layer,152,The Americas and the Caribbean: North America: United States,8
25,2021,E02003359,2021 super output areas - middle layer,152,The Americas and the Caribbean: Central America,0
26,2021,E02003359,2021 super output areas - middle layer,152,The Americas and the Caribbean: South America,10
27,2021,E02003359,2021 super output areas - middle layer,152,The Americas and the Caribbean: The Caribbean,4
28,2021,E02003359,2021 super output areas - middle layer,152,The Americas and the Caribbean: The Caribbean: Jamaica,1
29,2021,E02003359,2021 super output areas - middle layer,152,The Americas and the Caribbean: The Caribbean: Other Caribbean,3
30,2021,E02003359,2021 super output areas - middle layer,152,Antarctica and Oceania,10
31,2021,E02003359,2021 super output areas - middle layer,152,Antarctica and Oceania: Australasia,10
32,2021,E02003359,2021 super output areas - middle layer,152,Antarctica and Oceania: Australasia: Australia,6
33,2021,E02003359,2021 super output areas - middle layer,152,Antarctica and Oceania: Australasia: New Zealand,4
34,2021,E02003359,2021 super output areas - middle layer,152,Antarctica and Oceania: Other Antarctica and Oceania,0
35,2021,E02003359,2021 super output areas - middle layer,152,British Overseas Territories,0
36,2021,E02003359,2021 super output areas - middle layer,152,No passport held,608
37,2021,E02003360,2021 super output areas - middle layer,152,Total: All usual residents,11624
38,2021,E02003360,2021 super output areas - middle layer,152,Europe,10022
39,2021,E02003360,2021 super output areas - middle layer,152,Europe: United Kingdom,9249
40,2021,E02003360,2021 super output areas - middle layer,152,Europe: Ireland,55
41,2021,E02003360,2021 super output areas - middle layer,152,Europe: Other Europe,718
42,2021,E02003360,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries,696
43,2021,E02003360,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: France,34
44,2021,E02003360,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Germany,26
45,2021,E02003360,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Italy,42
46,2021,E02003360,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Portugal,51
47,2021,E02003360,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Spain,27
48,2021,E02003360,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Lithuania,42
49,2021,E02003360,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Poland,180
50,2021,E02003360,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Romania,81
51,2021,E02003360,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Other EU countries,213
52,2021,E02003360,2021 super output areas - middle layer,152,Europe: Other Europe: Rest of Europe,22
53,2021,E02003360,2021 super output areas - middle layer,152,Europe: Other Europe: Rest of Europe: Turkey,4
54,2021,E02003360,2021 super output areas - middle layer,152,Europe: Other Europe: Rest of Europe: Other Europe,18
55,2021,E02003360,2021 super output areas - middle layer,152,Africa,138
56,2021,E02003360,2021 super output areas - middle layer,152,Africa: North Africa,16
57,2021,E02003360,2021 super output areas - middle layer,152,Africa: Central and Western Africa,62
58,2021,E02003360,2021 super output areas - middle layer,152,Africa: Central and Western Africa: Ghana,41
59,2021,E02003360,2021 super output areas - middle layer,152,Africa: Central and Western Africa: Nigeria,17
60,2021,E02003360,2021 super output areas - middle layer,152,Africa: Central and Western Africa: Other Central and Western Africa,4
61,2021,E02003360,2021 super output areas - middle layer,152,Africa: South and Eastern Africa,60
62,2021,E02003360,2021 super output areas - middle layer,152,Africa: South and Eastern Africa: Kenya,6
63,2021,E02003360,2021 super output areas - middle layer,152,Africa: South and Eastern Africa: Somalia,0
64,2021,E02003360,2021 super output areas - middle layer,152,Africa: South and Eastern Africa: South Africa,31
65,2021,E02003360,2021 super output areas - middle layer,152,Africa: South and Eastern Africa: Zimbabwe,17
66,2021,E02003360,2021 super output areas - middle layer,152,Africa: South and Eastern Africa: Other South and Eastern Africa,6
67,2021,E02003360,2021 super output areas - middle layer,152,Middle East and Asia,166
68,2021,E02003360,2021 super output areas - middle layer,152,Middle East and Asia: Middle East,1
69,2021,E02003360,2021 super output areas - middle layer,152,Middle East and Asia: Middle East: Iran,1
70,2021,E02003360,2021 super output areas - middle layer,152,Middle East and Asia: Middle East: Iraq,0
71,2021,E02003360,2021 super output areas - middle layer,152,Middle East and Asia: Middle East: Other Middle East,0
72,2021,E02003360,2021 super output areas - middle layer,152,Middle East and Asia: Eastern Asia,17
73,2021,E02003360,2021 super output areas - middle layer,152,Middle East and Asia: Eastern Asia: China,4
74,2021,E02003360,2021 super output areas - middle layer,152,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),3
75,2021,E02003360,2021 super output areas - middle layer,152,Middle East and Asia: Eastern Asia: Japan,6
76,2021,E02003360,2021 super output areas - middle layer,152,Middle East and Asia: Eastern Asia: Other Eastern Asia,4
77,2021,E02003360,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia,113
78,2021,E02003360,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia: Afghanistan,0
79,2021,E02003360,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia: Bangladesh,0
80,2021,E02003360,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia: India,41
81,2021,E02003360,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia: Pakistan,14
82,2021,E02003360,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia: Sri Lanka,0
83,2021,E02003360,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia: Other Southern Asia,58
84,2021,E02003360,2021 super output areas - middle layer,152,Middle East and Asia: South-East Asia,35
85,2021,E02003360,2021 super output areas - middle layer,152,Middle East and Asia: South-East Asia: Malaysia,5
86,2021,E02003360,2021 super output areas - middle layer,152,Middle East and Asia: South-East Asia: Philippines,13
87,2021,E02003360,2021 super output areas - middle layer,152,Middle East and Asia: South-East Asia: Singapore,3
88,2021,E02003360,2021 super output areas - middle layer,152,Middle East and Asia: South-East Asia: Other South-East Asia,14
89,2021,E02003360,2021 super output areas - middle layer,152,Middle East and Asia: Central Asia,0
90,2021,E02003360,2021 super output areas - middle layer,152,The Americas and the Caribbean,30
91,2021,E02003360,2021 super output areas - middle layer,152,The Americas and the Caribbean: North America,13
92,2021,E02003360,2021 super output areas - middle layer,152,The Americas and the Caribbean: North America: Canada,4
93,2021,E02003360,2021 super output areas - middle layer,152,The Americas and the Caribbean: North America: United States,9
94,2021,E02003360,2021 super output areas - middle layer,152,The Americas and the Caribbean: Central America,0
95,2021,E02003360,2021 super output areas - middle layer,152,The Americas and the Caribbean: South America,13
96,2021,E02003360,2021 super output areas - middle layer,152,The Americas and the Caribbean: The Caribbean,4
97,2021,E02003360,2021 super output areas - middle layer,152,The Americas and the Caribbean: The Caribbean: Jamaica,1
98,2021,E02003360,2021 super output areas - middle layer,152,The Americas and the Caribbean: The Caribbean: Other Caribbean,3
99,2021,E02003360,2021 super output areas - middle layer,152,Antarctica and Oceania,8
100,2021,E02003360,2021 super output areas - middle layer,152,Antarctica and Oceania: Australasia,8
101,2021,E02003360,2021 super output areas - middle layer,152,Antarctica and Oceania: Australasia: Australia,5
102,2021,E02003360,2021 super output areas - middle layer,152,Antarctica and Oceania: Australasia: New Zealand,3
103,2021,E02003360,2021 super output areas - middle layer,152,Antarctica and Oceania: Other Antarctica and Oceania,0
104,2021,E02003360,2021 super output areas - middle layer,152,British Overseas Territories,0
105,2021,E02003360,2021 super output areas - middle layer,152,No passport held,1260
106,2021,E02003361,2021 super output areas - middle layer,152,Total: All usual residents,7435
107,2021,E02003361,2021 super output areas - middle layer,152,Europe,6405
108,2021,E02003361,2021 super output areas - middle layer,152,Europe: United Kingdom,5797
109,2021,E02003361,2021 super output areas - middle layer,152,Europe: Ireland,51
110,2021,E02003361,2021 super output areas - middle layer,152,Europe: Other Europe,557
111,2021,E02003361,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries,533
112,2021,E02003361,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: France,15
113,2021,E02003361,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Germany,22
114,2021,E02003361,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Italy,26
115,2021,E02003361,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Portugal,44
116,2021,E02003361,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Spain,18
117,2021,E02003361,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Lithuania,15
118,2021,E02003361,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Poland,161
119,2021,E02003361,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Romania,81
120,2021,E02003361,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Other EU countries,151
121,2021,E02003361,2021 super output areas - middle layer,152,Europe: Other Europe: Rest of Europe,24
122,2021,E02003361,2021 super output areas - middle layer,152,Europe: Other Europe: Rest of Europe: Turkey,0
123,2021,E02003361,2021 super output areas - middle layer,152,Europe: Other Europe: Rest of Europe: Other Europe,24
124,2021,E02003361,2021 super output areas - middle layer,152,Africa,52
125,2021,E02003361,2021 super output areas - middle layer,152,Africa: North Africa,7
126,2021,E02003361,2021 super output areas - middle layer,152,Africa: Central and Western Africa,11
127,2021,E02003361,2021 super output areas - middle layer,152,Africa: Central and Western Africa: Ghana,10
128,2021,E02003361,2021 super output areas - middle layer,152,Africa: Central and Western Africa: Nigeria,1
129,2021,E02003361,2021 super output areas - middle layer,152,Africa: Central and Western Africa: Other Central and Western Africa,0
130,2021,E02003361,2021 super output areas - middle layer,152,Africa: South and Eastern Africa,34
131,2021,E02003361,2021 super output areas - middle layer,152,Africa: South and Eastern Africa: Kenya,3
132,2021,E02003361,2021 super output areas - middle layer,152,Africa: South and Eastern Africa: Somalia,0
133,2021,E02003361,2021 super output areas - middle layer,152,Africa: South and Eastern Africa: South Africa,21
134,2021,E02003361,2021 super output areas - middle layer,152,Africa: South and Eastern Africa: Zimbabwe,6
135,2021,E02003361,2021 super output areas - middle layer,152,Africa: South and Eastern Africa: Other South and Eastern Africa,4
136,2021,E02003361,2021 super output areas - middle layer,152,Middle East and Asia,83
137,2021,E02003361,2021 super output areas - middle layer,152,Middle East and Asia: Middle East,2
138,2021,E02003361,2021 super output areas - middle layer,152,Middle East and Asia: Middle East: Iran,1
139,2021,E02003361,2021 super output areas - middle layer,152,Middle East and Asia: Middle East: Iraq,0
140,2021,E02003361,2021 super output areas - middle layer,152,Middle East and Asia: Middle East: Other Middle East,1
141,2021,E02003361,2021 super output areas - middle layer,152,Middle East and Asia: Eastern Asia,11
142,2021,E02003361,2021 super output areas - middle layer,152,Middle East and Asia: Eastern Asia: China,6
143,2021,E02003361,2021 super output areas - middle layer,152,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),0
144,2021,E02003361,2021 super output areas - middle layer,152,Middle East and Asia: Eastern Asia: Japan,3
145,2021,E02003361,2021 super output areas - middle layer,152,Middle East and Asia: Eastern Asia: Other Eastern Asia,2
146,2021,E02003361,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia,54
147,2021,E02003361,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia: Afghanistan,0
148,2021,E02003361,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia: Bangladesh,0
149,2021,E02003361,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia: India,22
150,2021,E02003361,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia: Pakistan,7
151,2021,E02003361,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia: Sri Lanka,2
152,2021,E02003361,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia: Other Southern Asia,23
153,2021,E02003361,2021 super output areas - middle layer,152,Middle East and Asia: South-East Asia,16
154,2021,E02003361,2021 super output areas - middle layer,152,Middle East and Asia: South-East Asia: Malaysia,4
155,2021,E02003361,2021 super output areas - middle layer,152,Middle East and Asia: South-East Asia: Philippines,6
156,2021,E02003361,2021 super output areas - middle layer,152,Middle East and Asia: South-East Asia: Singapore,1
157,2021,E02003361,2021 super output areas - middle layer,152,Middle East and Asia: South-East Asia: Other South-East Asia,5
158,2021,E02003361,2021 super output areas - middle layer,152,Middle East and Asia: Central Asia,0
159,2021,E02003361,2021 super output areas - middle layer,152,The Americas and the Caribbean,23
160,2021,E02003361,2021 super output areas - middle layer,152,The Americas and the Caribbean: North America,15
161,2021,E02003361,2021 super output areas - middle layer,152,The Americas and the Caribbean: North America: Canada,3
162,2021,E02003361,2021 super output areas - middle layer,152,The Americas and the Caribbean: North America: United States,12
163,2021,E02003361,2021 super output areas - middle layer,152,The Americas and the Caribbean: Central America,2
164,2021,E02003361,2021 super output areas - middle layer,152,The Americas and the Caribbean: South America,6
165,2021,E02003361,2021 super output areas - middle layer,152,The Americas and the Caribbean: The Caribbean,0
166,2021,E02003361,2021 super output areas - middle layer,152,The Americas and the Caribbean: The Caribbean: Jamaica,0
167,2021,E02003361,2021 super output areas - middle layer,152,The Americas and the Caribbean: The Caribbean: Other Caribbean,0
168,2021,E02003361,2021 super output areas - middle layer,152,Antarctica and Oceania,7
169,2021,E02003361,2021 super output areas - middle layer,152,Antarctica and Oceania: Australasia,7
170,2021,E02003361,2021 super output areas - middle layer,152,Antarctica and Oceania: Australasia: Australia,4
171,2021,E02003361,2021 super output areas - middle layer,152,Antarctica and Oceania: Australasia: New Zealand,3
172,2021,E02003361,2021 super output areas - middle layer,152,Antarctica and Oceania: Other Antarctica and Oceania,0
173,2021,E02003361,2021 super output areas - middle layer,152,British Overseas Territories,0
174,2021,E02003361,2021 super output areas - middle layer,152,No passport held,865
175,2021,E02003362,2021 super output areas - middle layer,152,Total: All usual residents,6717
176,2021,E02003362,2021 super output areas - middle layer,152,Europe,5782
177,2021,E02003362,2021 super output areas - middle layer,152,Europe: United Kingdom,5185
178,2021,E02003362,2021 super output areas - middle layer,152,Europe: Ireland,29
179,2021,E02003362,2021 super output areas - middle layer,152,Europe: Other Europe,568
180,2021,E02003362,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries,546
181,2021,E02003362,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: France,20
182,2021,E02003362,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Germany,26
183,2021,E02003362,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Italy,29
184,2021,E02003362,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Portugal,19
185,2021,E02003362,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Spain,13
186,2021,E02003362,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Lithuania,37
187,2021,E02003362,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Poland,162
188,2021,E02003362,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Romania,94
189,2021,E02003362,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Other EU countries,146
190,2021,E02003362,2021 super output areas - middle layer,152,Europe: Other Europe: Rest of Europe,22
191,2021,E02003362,2021 super output areas - middle layer,152,Europe: Other Europe: Rest of Europe: Turkey,1
192,2021,E02003362,2021 super output areas - middle layer,152,Europe: Other Europe: Rest of Europe: Other Europe,21
193,2021,E02003362,2021 super output areas - middle layer,152,Africa,66
194,2021,E02003362,2021 super output areas - middle layer,152,Africa: North Africa,4
195,2021,E02003362,2021 super output areas - middle layer,152,Africa: Central and Western Africa,29
196,2021,E02003362,2021 super output areas - middle layer,152,Africa: Central and Western Africa: Ghana,24
197,2021,E02003362,2021 super output areas - middle layer,152,Africa: Central and Western Africa: Nigeria,4
198,2021,E02003362,2021 super output areas - middle layer,152,Africa: Central and Western Africa: Other Central and Western Africa,1
199,2021,E02003362,2021 super output areas - middle layer,152,Africa: South and Eastern Africa,33
200,2021,E02003362,2021 super output areas - middle layer,152,Africa: South and Eastern Africa: Kenya,9
201,2021,E02003362,2021 super output areas - middle layer,152,Africa: South and Eastern Africa: Somalia,0
202,2021,E02003362,2021 super output areas - middle layer,152,Africa: South and Eastern Africa: South Africa,14
203,2021,E02003362,2021 super output areas - middle layer,152,Africa: South and Eastern Africa: Zimbabwe,3
204,2021,E02003362,2021 super output areas - middle layer,152,Africa: South and Eastern Africa: Other South and Eastern Africa,7
205,2021,E02003362,2021 super output areas - middle layer,152,Middle East and Asia,54
206,2021,E02003362,2021 super output areas - middle layer,152,Middle East and Asia: Middle East,3
207,2021,E02003362,2021 super output areas - middle layer,152,Middle East and Asia: Middle East: Iran,3
208,2021,E02003362,2021 super output areas - middle layer,152,Middle East and Asia: Middle East: Iraq,0
209,2021,E02003362,2021 super output areas - middle layer,152,Middle East and Asia: Middle East: Other Middle East,0
210,2021,E02003362,2021 super output areas - middle layer,152,Middle East and Asia: Eastern Asia,2
211,2021,E02003362,2021 super output areas - middle layer,152,Middle East and Asia: Eastern Asia: China,0
212,2021,E02003362,2021 super output areas - middle layer,152,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),0
213,2021,E02003362,2021 super output areas - middle layer,152,Middle East and Asia: Eastern Asia: Japan,1
214,2021,E02003362,2021 super output areas - middle layer,152,Middle East and Asia: Eastern Asia: Other Eastern Asia,1
215,2021,E02003362,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia,33
216,2021,E02003362,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia: Afghanistan,0
217,2021,E02003362,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia: Bangladesh,0
218,2021,E02003362,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia: India,11
219,2021,E02003362,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia: Pakistan,5
220,2021,E02003362,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia: Sri Lanka,0
221,2021,E02003362,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia: Other Southern Asia,17
222,2021,E02003362,2021 super output areas - middle layer,152,Middle East and Asia: South-East Asia,16
223,2021,E02003362,2021 super output areas - middle layer,152,Middle East and Asia: South-East Asia: Malaysia,4
224,2021,E02003362,2021 super output areas - middle layer,152,Middle East and Asia: South-East Asia: Philippines,7
225,2021,E02003362,2021 super output areas - middle layer,152,Middle East and Asia: South-East Asia: Singapore,0
226,2021,E02003362,2021 super output areas - middle layer,152,Middle East and Asia: South-East Asia: Other South-East Asia,5
227,2021,E02003362,2021 super output areas - middle layer,152,Middle East and Asia: Central Asia,0
228,2021,E02003362,2021 super output areas - middle layer,152,The Americas and the Caribbean,23
229,2021,E02003362,2021 super output areas - middle layer,152,The Americas and the Caribbean: North America,7
230,2021,E02003362,2021 super output areas - middle layer,152,The Americas and the Caribbean: North America: Canada,2
231,2021,E02003362,2021 super output areas - middle layer,152,The Americas and the Caribbean: North America: United States,5
232,2021,E02003362,2021 super output areas - middle layer,152,The Americas and the Caribbean: Central America,0
233,2021,E02003362,2021 super output areas - middle layer,152,The Americas and the Caribbean: South America,11
234,2021,E02003362,2021 super output areas - middle layer,152,The Americas and the Caribbean: The Caribbean,5
235,2021,E02003362,2021 super output areas - middle layer,152,The Americas and the Caribbean: The Caribbean: Jamaica,1
236,2021,E02003362,2021 super output areas - middle layer,152,The Americas and the Caribbean: The Caribbean: Other Caribbean,4
237,2021,E02003362,2021 super output areas - middle layer,152,Antarctica and Oceania,2
238,2021,E02003362,2021 super output areas - middle layer,152,Antarctica and Oceania: Australasia,2
239,2021,E02003362,2021 super output areas - middle layer,152,Antarctica and Oceania: Australasia: Australia,1
240,2021,E02003362,2021 super output areas - middle layer,152,Antarctica and Oceania: Australasia: New Zealand,1
241,2021,E02003362,2021 super output areas - middle layer,152,Antarctica and Oceania: Other Antarctica and Oceania,0
242,2021,E02003362,2021 super output areas - middle layer,152,British Overseas Territories,0
243,2021,E02003362,2021 super output areas - middle layer,152,No passport held,790
244,2021,E02003363,2021 super output areas - middle layer,152,Total: All usual residents,7096
245,2021,E02003363,2021 super output areas - middle layer,152,Europe,6511
246,2021,E02003363,2021 super output areas - middle layer,152,Europe: United Kingdom,6201
247,2021,E02003363,2021 super output areas - middle layer,152,Europe: Ireland,51
248,2021,E02003363,2021 super output areas - middle layer,152,Europe: Other Europe,259
249,2021,E02003363,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries,235
250,2021,E02003363,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: France,23
251,2021,E02003363,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Germany,11
252,2021,E02003363,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Italy,22
253,2021,E02003363,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Portugal,25
254,2021,E02003363,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Spain,9
255,2021,E02003363,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Lithuania,3
256,2021,E02003363,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Poland,31
257,2021,E02003363,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Romania,39
258,2021,E02003363,2021 super output areas - middle layer,152,Europe: Other Europe: EU Member countries: Other EU countries,72
259,2021,E02003363,2021 super output areas - middle layer,152,Europe: Other Europe: Rest of Europe,24
260,2021,E02003363,2021 super output areas - middle layer,152,Europe: Other Europe: Rest of Europe: Turkey,1
261,2021,E02003363,2021 super output areas - middle layer,152,Europe: Other Europe: Rest of Europe: Other Europe,23
262,2021,E02003363,2021 super output areas - middle layer,152,Africa,30
263,2021,E02003363,2021 super output areas - middle layer,152,Africa: North Africa,2
264,2021,E02003363,2021 super output areas - middle layer,152,Africa: Central and Western Africa,5
265,2021,E02003363,2021 super output areas - middle layer,152,Africa: Central and Western Africa: Ghana,1
266,2021,E02003363,2021 super output areas - middle layer,152,Africa: Central and Western Africa: Nigeria,4
267,2021,E02003363,2021 super output areas - middle layer,152,Africa: Central and Western Africa: Other Central and Western Africa,0
268,2021,E02003363,2021 super output areas - middle layer,152,Africa: South and Eastern Africa,23
269,2021,E02003363,2021 super output areas - middle layer,152,Africa: South and Eastern Africa: Kenya,0
270,2021,E02003363,2021 super output areas - middle layer,152,Africa: South and Eastern Africa: Somalia,0
271,2021,E02003363,2021 super output areas - middle layer,152,Africa: South and Eastern Africa: South Africa,19
272,2021,E02003363,2021 super output areas - middle layer,152,Africa: South and Eastern Africa: Zimbabwe,1
273,2021,E02003363,2021 super output areas - middle layer,152,Africa: South and Eastern Africa: Other South and Eastern Africa,3
274,2021,E02003363,2021 super output areas - middle layer,152,Middle East and Asia,61
275,2021,E02003363,2021 super output areas - middle layer,152,Middle East and Asia: Middle East,1
276,2021,E02003363,2021 super output areas - middle layer,152,Middle East and Asia: Middle East: Iran,0
277,2021,E02003363,2021 super output areas - middle layer,152,Middle East and Asia: Middle East: Iraq,0
278,2021,E02003363,2021 super output areas - middle layer,152,Middle East and Asia: Middle East: Other Middle East,1
279,2021,E02003363,2021 super output areas - middle layer,152,Middle East and Asia: Eastern Asia,21
280,2021,E02003363,2021 super output areas - middle layer,152,Middle East and Asia: Eastern Asia: China,13
281,2021,E02003363,2021 super output areas - middle layer,152,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),6
282,2021,E02003363,2021 super output areas - middle layer,152,Middle East and Asia: Eastern Asia: Japan,0
283,2021,E02003363,2021 super output areas - middle layer,152,Middle East and Asia: Eastern Asia: Other Eastern Asia,2
284,2021,E02003363,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia,27
285,2021,E02003363,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia: Afghanistan,0
286,2021,E02003363,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia: Bangladesh,0
287,2021,E02003363,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia: India,15
288,2021,E02003363,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia: Pakistan,10
289,2021,E02003363,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia: Sri Lanka,2
290,2021,E02003363,2021 super output areas - middle layer,152,Middle East and Asia: Southern Asia: Other Southern Asia,0
291,2021,E02003363,2021 super output areas - middle layer,152,Middle East and Asia: South-East Asia,12
292,2021,E02003363,2021 super output areas - middle layer,152,Middle East and Asia: South-East Asia: Malaysia,3
293,2021,E02003363,2021 super output areas - middle layer,152,Middle East and Asia: South-East Asia: Philippines,6
294,2021,E02003363,2021 super output areas - middle layer,152,Middle East and Asia: South-East Asia: Singapore,0
295,2021,E02003363,2021 super output areas - middle layer,152,Middle East and Asia: South-East Asia: Other South-East Asia,3
296,2021,E02003363,2021 super output areas - middle layer,152,Middle East and Asia: Central Asia,0
297,2021,E02003363,2021 super output areas - middle layer,152,The Americas and the Caribbean,27
298,2021,E02003363,2021 super output areas - middle layer,152,The Americas and the Caribbean: North America,24
299,2021,E02003363,2021 super output areas - middle layer,152,The Americas and the Caribbean: North America: Canada,3
300,2021,E02003363,2021 super output areas - middle layer,152,The Americas and the Caribbean: North America: United States,21
301,2021,E02003363,2021 super output areas - middle layer,152,The Americas and the Caribbean: Central America,0
302,2021,E02003363,2021 super output areas - middle layer,152,The Americas and the Caribbean: South America,3
303,2021,E02003363,2021 super output areas - middle layer,152,The Americas and the Caribbean: The Caribbean,0
304,2021,E02003363,2021 super output areas - middle layer,152,The Americas and the Caribbean: The Caribbean: Jamaica,0
